message,action
"""Get me some pizza, right now Jarvis!",PIZZA
Jarvis what time is it?,TIME
can you check the humidity for me Jarvis?,WEATHER
Jarvis please print the system time,TIME
Jarvis order me a large cheese,PIZZA
tell me a joke,JOKE
what is the temperature,WEATHER
what is the present time?,TIME
give me a good knee slapper,JOKE
I wanna laugh,JOKE
tell me the time jarvis,TIME
Hi Jarvis,GREET
make me giggle,JOKE
call in me a whole large pie with anchovies jarvis,PIZZA
what's presently on the clock,TIME
what's the weather like today Jarvis?,WEATHER
what's up,GREET
Time check Jarvis!,TIME
Jarvis order me some za,PIZZA
tell me a good pun,JOKE
what's it like outside?,WEATHER
Jarvis please check the clock,TIME
what time does your brain think it is?,TIME
pizza now,PIZZA
Hey Jarvis,GREET
Jarvis order me some Leonardo's,PIZZA
tell me something that will make me lol,JOKE
Jarvis order me a tomato pie,PIZZA
how has your day been Jarvis?,GREET
check the weather Jarvis,WEATHER
Tell me a jest,JOKE
jarvis current time please,TIME
Jarvis please order a large veggie,PIZZA
good morning,GREET
can you get a pepperoni pizza,PIZZA
order a pizza,PIZZA
how does the weekend look,WEATHER
knock knock,JOKE
good afternoon,GREET
what does the clock show,TIME
what is it like outside,WEATHER
jarvis would you split a pizza with me? we can get a flatbread,PIZZA
hello jarvis,GREET
how are you?,GREET
greetings,GREET
i'd like to order a sausage and mushroom pizza,PIZZA
how long has it been?,TIME
what's up?,GREET
hi there jarvis,GREET
is it a.m. or p.m. right now,TIME
can you order an extra large cheese pizza,PIZZA
tell me the weather,WEATHER
why did the chicken cross the road?,JOKE
pizza,PIZZA
do your best stand-up comedy,JOKE
time,TIME
how is it going?,GREET
is it snowing at the moment,WEATHER
what time is it right now,TIME
say something humorous,JOKE
is it snowing,WEATHER
what time is it?,TIME
what is the weather,WEATHER
is it going to be sunny or cloudy today?,WEATHER
is it raining,WEATHER
be a comedian,JOKE
how much time do i have,TIME
hello jarvis,GREET
how does the weather look,WEATHER
tell me a joke,JOKE
good evening,GREET
get me a pizza please,PIZZA
how many hours and minute have passed,TIME
what time is on the clock,TIME
get some pizza for me,PIZZA
call for pizza and get me one with extra cheese,PIZZA
"""let's get some pizza, beer, and wings for the game",PIZZA
"""forecast please, jarvis",GREET
I'd like a pizza for take-out,JOKE
what's the forecast?,GREET
How warm will it be?,JOKE
What's the weather today?,JOKE
"""Jarvis, what's the time?",WEATHER
Tell me a joke,WEATHER
What's it like outside?,WEATHER
What's the temperature?,TIME
I need a laugh,JOKE
can you tell me the time?,GREET
"""Jarvis, order me a pizza",JOKE
weather please,WEATHER
How late is it?,PIZZA
"""Jarvis, do you know the time?",TIME
I'm going to need takeout,GREET
Good morning,TIME
Good to see you jarvis,TIME
I'd like to order a pizza,TIME
Well hello jarvis,PIZZA
time please,WEATHER
good afternoon,TIME
"""Hi, jarvis",TIME
"""Make me laugh, jarvis",GREET
Hey jarvis,GREET
cheer me up jarvis,PIZZA
What time is it?,PIZZA
"""Jarvis, know any good jokes?",PIZZA
"""Tell a joke, jarvis",WEATHER
How early is it?,JOKE
"""The usual for dinner, jarvis",PIZZA
"""I'm hungry, order some food",GREET
I want take-out tonight,WEATHER
Is it raining?,WEATHER
"""jarvis, place an order for pizza",PIZZA
Is it going to rain today?,PIZZA
I could use a laugh,WEATHER
Hello,JOKE
Jarvis,GREET
How has thing been these days?,WEATHER
I want a pizza for here.,PIZZA
What about giving us a joke?,WEATHER
How are you?,TIME
Is it hot now?,PIZZA
How is it going?,JOKE
Can I order a pizza for delivery?,GREET
May I ask the time?,WEATHER
How do you do?,PIZZA
Why donâ€™t you tell a joke to have fun?,JOKE
Is it cloudy now?,PIZZA
Whatâ€™s the weather like now?,WEATHER
What temperature is it now?,WEATHER
"""Iâ€™m after a pizza, please.",TIME
Whatâ€™s the joke for today?,TIME
Howâ€™s the weather now?,PIZZA
What time have you got?,GREET
Can you tell me what time it is?,GREET
Pan pizza is my cup of tea.,JOKE
I like fruit on my pizza.,GREET
Have you got the time?,TIME
What time is it?,TIME
Is it raining now?,WEATHER
"""Tell me a joke, please.",JOKE
Would you mind telling a joke?,JOKE
Merry Christmas!,GREET
Which kind do you want?,PIZZA
How is your study?,GREET
How have you been?,GREET
What time is it?,TIME
"""What is the correct time, please?",TIME
How about the weather now?,WEATHER
What size would you like?,PIZZA
Why not tell a joke?,JOKE
What time is it?,TIME
Can you give us a joke to entertain us?,JOKE
How about telling a joke?,JOKE
Will you please tell a joke now?,JOKE
A small pizza is enough.,PIZZA
Can you tell me a joke?,JOKE
How do you feel today?,GREET
"""I would like thin crust, please.",PIZZA
Could you tell me the time?,TIME
Is it snowing now?,WEATHER
how long before i should go to bed if i want to be remotely healthy,TIME
could you tell me a joke,JOKE
you up?,GREET
how long has it been since i last slept,TIME
i'm totally out of jokes,JOKE
do you know the time,TIME
can you tell me a joke,JOKE
i'd like to laugh right now,JOKE
will it snow today?,WEATHER
sup,GREET
what time is it?,TIME
how long has it been since i woke up,TIME
good day,GREET
i'd like to order a pizza,PIZZA
how about some circular pies,PIZZA
how am i doing on time,TIME
how hot is it,WEATHER
am i late,TIME
do you even have a sense of humor,JOKE
good morning,GREET
how cold is it,WEATHER
hey how you doing,GREET
can i get a pizza,PIZZA
hey,GREET
hi jarvis,GREET
should i get to class soon,TIME
good evening,GREET
could I bother you for the time,TIME
i need some circular pies,PIZZA
i need some cheesiness in my life,PIZZA
quick i need a joke,JOKE
good afternoon,GREET
let's put in an order for some pizza,PIZZA
i need a new joke,JOKE
what's the weather like,WEATHER
is it windy,WEATHER
i need to hear something funny,JOKE
there once was a man from,JOKE
When should I pick up my pizza?,PIZZA
Is it warm outside?,WEATHER
What's up?,GREET
Hello,GREET
How was your day?,GREET
Tell me what time it is,TIME
Why did the chicken cross the road,JOKE
How are you?,GREET
Hello!,GREET
How long until it will be ready,PIZZA
Is it sunny outside?,WEATHER
Good afternoon,GREET
How do you know if there is an elephant underneath your bed,JOKE
done,WEATHER
Howdy,GREET
done,GREET
How many does it take to,JOKE
What do you call a bear with no teeth,JOKE
How are you?,GREET
Is it cold out?,WEATHER
Is it warmer than 65 out?,WEATHER
turn the clock back an hour please,TIME
I'll have my pizza with ham and pineapple please,PIZZA
walk into a bar,JOKE
I'd like an extra large pizza with stuffed crust and sausage,PIZZA
What is the difference between,JOKE
can i pick up a pizza in thirty minutes please,PIZZA
When is the sunrise and sunset?,TIME
I'd like a large cheese pizza!,PIZZA
id like to order a supreme pizza please,PIZZA
how many minutes until eleven,TIME
What's up my dude?,GREET
Do I need an umbrella?,WEATHER
Is it shorts weather?,WEATHER
does pineapple cost extra?,PIZZA
yo mama was,JOKE
is it dark outside?,WEATHER
what is the current hour,TIME
give me the time,TIME
is it safe to drive outside tonight,WEATHER
How can I help you today?,GREET
What are you up to?,GREET
Do you make supreme pizzas?,PIZZA
How much has it snowed in the past 24 hours?,WEATHER
"Time, please!",TIME
Good evening,GREET
Sup?,GREET
How much for extra toppings?,PIZZA
Show me the forecast,WEATHER
"I'd like sausage, pepperoni, and olives on my personal pizza",PIZZA
could i buy garlic knots with my pizza,PIZZA
Should I wear sunscreen?,WEATHER
how late am i,TIME
Sup,GREET
What has four wheels and flies,JOKE
how early is my alarm,TIME
show me a clock,TIME
Is it sunny outside?,WEATHER
greetings,GREET
Good afternoon,GREET
Can I get a large cheese pizza to go?,PIZZA
Knock knock,JOKE
Do you have the time?,TIME
Should i wear shorts or pants,WEATHER
have you heard the one about,JOKE
Hey!,GREET
have you heard the one about the,JOKE
Set an alarm for 8:30,TIME
Top of the morning to you!,GREET
How's it hanging?,GREET
What's up?,GREET
How is it outside?,WEATHER
Done,WEATHER
There once was a man from,JOKE
I'd like to order a pizza for delivery,PIZZA
Should i ski this weekend,WEATHER
I'll take the largest pan pizza you got,PIZZA
How late is it,TIME
What time is it?,TIME
How are you feeling?,GREET
Good morning,GREET
What do you call a,JOKE
Will it snow tonight?,WEATHER
how long until my next meeting,TIME
Show me what time it is,TIME
Can you tell me the time?,TIME
I want to go for a run.  What do you think Jarvis?,TIME
I need you to order something fast to eat,JOKE
how cold is it out?,JOKE
I need to know the time,PIZZA
hi!,JOKE
do you know any good jokes?,TIME
hola,GREET
please place an order,TIME
make me laugh!,PIZZA
lets order another,GREET
give me the time,TIME
I would like some dinner,JOKE
greetings,WEATHER
hey!,JOKE
is it going to rain?,PIZZA
hello,WEATHER
whats it going to be like for my trip?,WEATHER
give us a joke!,TIME
hello!,JOKE
how windy is it?,WEATHER
give me your best joke,TIME
Its time to eat!,PIZZA
I'd like a pizza pie,TIME
order pizza right now,TIME
what time zone are you in Jarvis?,TIME
what are your fav jokes,GREET
hello my friend!,GREET
make me laugh!,JOKE
I would like to laugh,JOKE
good to see you!,JOKE
give me your best jokes,GREET
when are we going to see sun again?,GREET
hello,TIME
what's your best joke?,GREET
hiya,WEATHER
"""make me laugh, Jarvis!",PIZZA
I need to know what time it is,WEATHER
what time is it?,GREET
hi!,GREET
"""I need something easy for dinner, what do you recommend?",WEATHER
please order me some food,GREET
what would you do if you could turn back time?,GREET
hey buddy!,PIZZA
I am super hungry,JOKE
"""Jarvis, please an order for take out",PIZZA
make us laugh Jarvis!,PIZZA
it is almost bedtime?,JOKE
do you know any jokes?,WEATHER
I want to know the time,WEATHER
yooohooo!,JOKE
What is it like in Vermont today?,WEATHER
"""make me laugh, Jarvis!",GREET
am I late?,JOKE
lets get some pizza,JOKE
do you know anything funny,TIME
tell me something funny,JOKE
"""Jarvis, pizza please!",WEATHER
whats up buttercup?,PIZZA
"""Jarvis, tell me a joke!",JOKE
what's the time?,PIZZA
tell me something that will make me laugh,JOKE
how about you order us a pizza,WEATHER
what time is it?,GREET
order a pizza jarvis!,JOKE
I'd like to eat something tasty.  Order a pizza!,JOKE
dude,PIZZA
hellloooo!,WEATHER
place an order for pizza,JOKE
lets order a pizza,GREET
what does the radar say?,TIME
what does the clock say?,PIZZA
tell me a good joke!,JOKE
I am feeling sad,PIZZA
time,WEATHER
how cold will it get today?,JOKE
do you know any knock knock jokes?,PIZZA
tell me something funny,WEATHER
when are the kids getting home?,TIME
tell us a joke,WEATHER
get me some pizza,GREET
whats the story morning glory?,PIZZA
I would love a pizza,GREET
can you tell time?,PIZZA
lets order pizza,WEATHER
I am dying for a pizza tonight,PIZZA
can you read the clock?,TIME
tell me the time,GREET
how windy is it?,WEATHER
helllllloooooo,GREET
"""Jarvis, would you please order me a pizza?",PIZZA
how windy is it going to be tomorrow?,WEATHER
order me a pizza,PIZZA
how about you tell me a joke?,JOKE
what is the weather like today?,PIZZA
I need to know if I am going to be late for my meeting.  Tell me the time right now.,TIME
welcome,GREET
"""Jarvis, tell me a joke",JOKE
what does the clock say?,JOKE
give me the time,WEATHER
tell me the time,WEATHER
I need to laugh today,PIZZA
do you know knock knock jokes?,WEATHER
when do I need to be there?,JOKE
order a large pizza please,TIME
tell me something funny,WEATHER
hola,PIZZA
do you know any good jokes?,GREET
hola!,GREET
hi!!!,TIME
tell the time,JOKE
make us laugh!,WEATHER
can you see the clock?,WEATHER
hola!,GREET
what time is it?,TIME
hiya,GREET
Jarvis tell me the weather,GREET
when are you going to place my order?,TIME
hiya,JOKE
I need to know the weather next week,JOKE
what kind of weather will my mom have on her drive here?,WEATHER
hey hey,WEATHER
hello,WEATHER
do you know any good take out spots?,TIME
what is the chance of precipitation tomorrow?,TIME
I would like to eat,TIME
do you know the time?,PIZZA
what is the high temp today?,PIZZA
greetings!,TIME
when do we fall back?,JOKE
lets order a pizza for dinner,WEATHER
welcome,PIZZA
do I need my umbrella?,PIZZA
I want a pizza,WEATHER
what is it like in San Diego today?,PIZZA
welcome!,TIME
what does the forecast look like?,GREET
"""my sister in law is great at jokes, are you?",GREET
what time is it?,WEATHER
yo!,TIME
whats in store for today's forecast?,JOKE
get me a pizza pronto,GREET
fall backward,WEATHER
lets get something easy,GREET
what are your favorite jokes,JOKE
should I wear shorts?,TIME
when will it rain next?,GREET
yo!,JOKE
can you tell me how cold it is?,TIME
call dominoes,JOKE
is it stormy out?,WEATHER
feed me!,JOKE
lets order a pizza,TIME
tell me what the weather is going to be like today,GREET
bonjour,JOKE
bonjour!,GREET
how should I dress today?,WEATHER
what is the 5-day forecast?,PIZZA
lets order pizza!,GREET
when is daylight savings time?,PIZZA
when is dinner tonight?,GREET
how hot is it?,TIME
check the time,TIME
hows the forecast for the weekend?,TIME
place an order for a large pizza,GREET
I am hungry,TIME
I need something easy for dinner tonight,PIZZA
are there any local pizza places that deliver?,JOKE
what is the low temp tomorrow,TIME
is it too cold to walk outside today?,TIME
am I late?,PIZZA
hello,PIZZA
"""can you tell time, Jarvis?",WEATHER
what does the clock say?,JOKE
place an order for pizza Jarvis,GREET
welcome,PIZZA
welcome!,JOKE
how are you?,GREET
give me something funny,GREET
hiya,WEATHER
its been a while,GREET
can you tell me a joke?,WEATHER
"""Jarvis, do you know any good jokes?",JOKE
tell me something funny!,PIZZA
do I have any coupons?,GREET
tell me something funny,PIZZA
hey,JOKE
"""lets hear a joke, Jarvis!",GREET
what's up buttercup?,JOKE
I'm craving a pizza,TIME
"""mmm, I am hungry",WEATHER
I am starving,GREET
"""well, hello",WEATHER
how late am I?,JOKE
order some pizza!,PIZZA
is it going to snow today?,PIZZA
what is the high temperature tomorrow?,JOKE
when does it get dark out?,WEATHER
"""dude, say something funny",PIZZA
I'm feeling bummed out.  Tell me a joke,GREET
do you know how to tell time?,PIZZA
is it cold today?,TIME
I need to hear a joke right about now,GREET
is it snowing?,TIME
its been a freaking rough day,JOKE
what's it like out?,JOKE
whats the forecast?,TIME
tell me a joke,JOKE
give us a joke,TIME
is it going to snow tomorrow?,PIZZA
what you do think about pizza for lunch?,PIZZA
tell me the time,GREET
hi,GREET
do you know any funny jokes?,PIZZA
is it sweater weather?,PIZZA
hi,WEATHER
get me a pizza pie now,PIZZA
order pizza,TIME
welcome,WEATHER
do I need an umbrella?,WEATHER
give me the weather update,GREET
it feels so raw out,TIME
what's the temp out?,WEATHER
can you tell me the time right now?,TIME
what is the low temperature tomorrow?,WEATHER
how long is class?,TIME
"""hey, do you know the time?",GREET
hi,PIZZA
hi!,WEATHER
"""Jarvis, do you have any good jokes?",PIZZA
come esta,TIME
hey!,PIZZA
how long is my appt?,TIME
welcome,PIZZA
what's it like out today?,JOKE
I am hungry and want dinner,PIZZA
what's the weather going to be like tomorrow?,PIZZA
make me laugh out loud!,GREET
"""Jarvis, give me the weather update!",GREET
give me the time,TIME
give me some good jokes,WEATHER
I need to know the time,TIME
Do you know any jokes?,GREET
I am feeling like pizza tonight,WEATHER
do you have the time?,TIME
time?,TIME
get pizza delivered.,PIZZA
can you make me laugh?,JOKE
do you know any good jokes?,JOKE
should i go outside?,WEATHER
order some pizza.,PIZZA
"""hi, jarvis.",GREET
hello?,GREET
how's the weather out there?,WEATHER
i could use a good laugh.,JOKE
is it time to go?,TIME
order me some pizza.,PIZZA
what's the time?,TIME
how's the weather?,WEATHER
is the weather nice?,WEATHER
hello!,GREET
"""hey, jarvis.",GREET
what's it like outside?,WEATHER
what's the hour?,TIME
will the weather be bad?,WEATHER
"""how's it going, jarvis?",GREET
what's the weather like?,WEATHER
a pizza would be nice.,PIZZA
how are you?,GREET
what time is it?,TIME
"""tell me something funny, jarvis.",JOKE
is it time to go to bed?,TIME
should i go out today?,WEATHER
do you know the time?,TIME
"""show me a joke, jarvis.",JOKE
"""greetings, jarvis.",GREET
"""cheese and pepperoni pizza, please!",PIZZA
is it time for bed?,TIME
get some pizza for me.,PIZZA
do you know any jokes?,JOKE
will it rain today?,WEATHER
I will die of laughter. It is lame joke but funny.,JOKE
Hey what's up?,GREET
I am making pizza tonight. come over.,PIZZA
It is beautiful out there. Let's go and get lost in mountains,WEATHER
It is high time we part our ways.,TIME
just put a pizza in the oven.,PIZZA
what temperature is it in burlington?,WEATHER
"Sicilian pizza, sausage pizza",PIZZA
I love snow because it all looks magical.,WEATHER
do not make a joke out of yourself.,JOKE
stop being a joke. It is not funny.,JOKE
ha-ha so pathetically gunny,JOKE
different people have different ways of making pizza.,PIZZA
calzone is also a type of pizza.,PIZZA
time is not on my side,TIME
tell me a good joke because I want to laugh,JOKE
I don't like dark humor.,JOKE
make jokes; talk humorously or flippantly.,JOKE
wanna go out and get some pizza,PIZZA
It is raining,WEATHER
lovely sunshine covering my room,WEATHER
it was this weather that made her cranky.,WEATHER
good afternoon,GREET
namasty,GREET
"anything with chicken, cheese, sauce, more cheese looks the same.",PIZZA
have you tried deep dish pizza?,PIZZA
this time she got a hat for me,TIME
"it is going to be foggy, hot, sunny, rainy all in one day.",WEATHER
time is money. value it.,TIME
I meant funny,JOKE
tell me something to light up my mood.,JOKE
I just can't stand this hot weather anymore.,WEATHER
"good evening, good night",GREET
"Hi, how are you",GREET
let's try giardano's flatbread today,PIZZA
a trick played on someone for fun.,JOKE
tell me more about weather,WEATHER
take care,GREET
You'd better not go out in this cold weather.,WEATHER
comeon. pizza is always a good idea.,PIZZA
It is nice to see you today,GREET
do you need time away from me?,TIME
stay warm. It is going to be cold.,WEATHER
It is high time that we break up.,TIME
have a good day,GREET
people are going to laugh regardless. live life.,JOKE
Let's go to beach. It is our day,WEATHER
it is very humid these days,WEATHER
let's play halloween pranks on students,JOKE
pizzeria. Let's go get manhattan,PIZZA
pizza is always a good idea.,PIZZA
good morning,GREET
I am just kidding.,JOKE
when do you want to go for movie?,TIME
do check weather forecast before going out,WEATHER
How have you been?,GREET
humor is always a good idea.,JOKE
time and again I have told you this.,TIME
Why don't we go out for pizza tonight?,PIZZA
It takes some time to wrap your head around,TIME
OMG he was so funny,JOKE
Hi!,WEATHER
It's a beautiful day for a walk,GREET
a small 6'' vegetarian pizza please,GREET
a large 14'' beef green pepper please,TIME
what's it like outside,GREET
order a pizza for me,JOKE
what's the forecast today?,PIZZA
Is it hot today?,GREET
tell me a joke,JOKE
what's your favorite joke?,PIZZA
what joke do you know?,TIME
greetings!,WEATHER
joke time!,TIME
I would like a chicken BBQ pizza,JOKE
joke me,JOKE
How's the weather today,PIZZA
show me the time,GREET
what's the time now,JOKE
Hey!,PIZZA
Hello!,TIME
Is it cold outside?,WEATHER
"""a joke, please",TIME
Feeling good today?,WEATHER
Is it 9 AM now?,GREET
it's rainy,TIME
good to see you jarvis,PIZZA
what time is it?,PIZZA
good day,WEATHER
How are you today?,JOKE
Do you have a watch?,PIZZA
tell me the time,GREET
I want a pizza,WEATHER
current time,WEATHER
a pizza please,TIME
order me a pizza with random flavor,TIME
give me a pizza,PIZZA
Can you cheer me up?,JOKE
What did the fish say when it ran into a concrete wall?  Dam!,JOKE
Puns are my favorite kind of jokes!,JOKE
I'm feeling sad.,JOKE
Heard any good jokes lately?,JOKE
Is it going to be sunny tomorrow?,WEATHER
Is it going to be cloudy tomorrow?,WEATHER
You're looking good today.,GREET
Did you hear the one about the priest and the rabbi?,JOKE
What day of the week is it?,TIME
Is it after noon yet?,TIME
Can you please order me a pizza?,PIZZA
Welcome to the channel,GREET
Positive Pie has the best pizza - can you order me a bbq chicken and a pepperoni slice?,PIZZA
Are the roads going to be icy on the way home?,WEATHER
What's the best place to get a pizza in Montpelier?,PIZZA
What should I eat for lunch?,PIZZA
Tell us a knock-knock joke.,JOKE
Lets start by introducing ourselves,GREET
"Sorry, I can't talk now - I'm too busy",GREET
Are you funny?,JOKE
What's a funny story?,JOKE
What is the date today?,TIME
What's the weather forecast going to be tomorrow?,WEATHER
I'd like a pizza with ham and pineapple please.,PIZZA
Is it going to turn to freezing rain later?,WEATHER
What is the current hour and minute?,TIME
"Hello, and a good morning to you too!",GREET
Is it going to snow tonight?,WEATHER
Please place an order for six pepperoni pizzas.,PIZZA
When is it?,TIME
Is it going to be windy today?,WEATHER
Hi everyone.,GREET
I need a good laugh right now.,JOKE
What is the current time?,TIME
Tell  me the time.,TIME
Welcome to the meeting.  Everyone say hi.,GREET
"Alright, who wants to start the introductions?",GREET
What time is it right now?,TIME
Who is hungry?,PIZZA
Is it going to be cold today?,WEATHER
I'm hungry.,PIZZA
Is it almost time to go home?,TIME
what is a funny joke,TIME
Why are jokes funny,WEATHER
How cold is it today?,PIZZA
What is the weather for the next week?,GREET
How much time is in a day?,JOKE
Hey JARVIS,WEATHER
What should I have for lunch?,GREET
Pepperoni is your favorite,JOKE
YO JARVIS whats up,WEATHER
Is it snowing?,TIME
what is the funniest thing or joke,PIZZA
Is it going to be hot or cold?,TIME
How's it going JARVIS?,TIME
What time should I head to school?,TIME
How much time is left?,WEATHER
do funny joke make people laugh,GREET
How much time left in the hour?,GREET
How much time left in the day?,PIZZA
What time is it?,GREET
Is the weather really cold?,PIZZA
What is the best weather?,WEATHER
What is your favorite pizza?,PIZZA
How is your day going JARVIS?,GREET
pizza topping's make it better,PIZZA
What is up!,TIME
what is funny JARVIS,TIME
Hi Jarvis,JOKE
What is the hour?,WEATHER
What is the weather outside?,TIME
Pizza is what you should eat,GREET
How much time is in a day?,TIME
What's Up JARVIS,JOKE
should you have pizza for lunch or dinner?,WEATHER
Pizza is my favorite food,GREET
Hey there JARVIS,PIZZA
How is the weather today?,WEATHER
I want to laugh!,JOKE
how cold is it?,WEATHER
Yo Jarvis!,GREET
Pizza please!,PIZZA
hola,GREET
Give me the time,TIME
Give me a joke,JOKE
Hello Jarvis!,GREET
hey jarv,GREET
tell me the time,TIME
What is the temperature?,WEATHER
Hello!,GREET
Can you tell me what time it is?,TIME
Please order me a pizza!,PIZZA
Show me the TIME,TIME
sup,GREET
Say something funny!,JOKE
How are you?,GREET
Order a pizza,PIZZA
Time please!,TIME
Hello Jarvis!,GREET
Jarvis what joke's can you tell me?,JOKE
Can you tell me a Joke?,JOKE
Is it raining today?,WEATHER
What's the weather?,WEATHER
Make me laugh,JOKE
time please,TIME
Can you deliver me a pizza?,PIZZA
I want the Time,TIME
what's up,GREET
Can you send me a joke?,JOKE
What is the weather like today?,WEATHER
Is it hot out today?,WEATHER
What time is it?,TIME
I want a Pizza!,PIZZA
What time is it?,TIME
Do you have any jokes?,JOKE
Can you have a pizza delivered to me?,PIZZA
get the time,TIME
can you tell me a joke?,JOKE
tell me a joke,JOKE
can you order me a pizza?,PIZZA
weather,WEATHER
can you tell me the weather?,WEATHER
I would love if you ordered me pizza,PIZZA
whats up jarvis,GREET
order pizza,PIZZA
what time is it?,TIME
be funny,JOKE
hello jarvis,GREET
Can you tell me the time right now?,TIME
get the time,TIME
make me laugh,JOKE
Hello,GREET
tell me what the weather is,WEATHER
can you tell me the time?,TIME
get weather,WEATHER
say a joke,JOKE
current time,TIME
hello,GREET
say something funny,JOKE
Can you make me laugh?,JOKE
order me a pizza,PIZZA
outdoor conditions,WEATHER
whatsup,GREET
Get some pizza for me,PIZZA
tell me the time,TIME
Can you tell me a joke?,JOKE
what is the weather today?,WEATHER
hows it going,GREET
tell me something to make me laugh,JOKE
what is a joke I can tell my coworkers?,JOKE
Can you tell me the weather?,WEATHER
what is the time?,TIME
yo,GREET
Hi jarvis,GREET
weather?,WEATHER
tell me what time it is,TIME
can you tell a joke?,JOKE
Could you please order me a pizza?,PIZZA
Can you be funny?,JOKE
what is it like outside today?,WEATHER
tell a joke,JOKE
i want pizza,PIZZA
Can you order a cheese pizza?,PIZZA
Greetings,GREET
current temperature,WEATHER
Can you get me the weather?,WEATHER
whats the weather like?,WEATHER
laugh,JOKE
vegetarian pizza,PIZZA
hello,GREET
it is cold outside,WEATHER
is it 12 noon or midnight?,TIME
rain,WEATHER
pun,JOKE
the date is,TIME
oregano on the crust,PIZZA
hawaiian pizza with pineapple,PIZZA
hey,GREET
hot,WEATHER
pepporoni pizza,PIZZA
yesterday afternoon,TIME
what time is it?,TIME
i would like some pizza,PIZZA
joke,JOKE
there is a storm,WEATHER
knock knock,JOKE
warm,WEATHER
howdy,GREET
morning,TIME
pepperoni,PIZZA
last night,TIME
snow,WEATHER
the month is november,TIME
cheese toppings,PIZZA
dear friend,GREET
tomato sauce,PIZZA
the year is 2017,TIME
tomorrow at 6 o'clock,TIME
what is the difference between,JOKE
sunny,WEATHER
humor,JOKE
hi,GREET
welcome,GREET
haha,JOKE
a man walks into a bar,JOKE
Ok jarvis,GREET
When does Dunkin Donuts open?,TIME
What will the weather be like next week?,WEATHER
What will the low be tonight?,WEATHER
What is the weather like today?,WEATHER
What is the time in military time?,TIME
Can you have a Hawaiian pizza delivered to me?,PIZZA
Hi there,GREET
Hey jarvis,GREET
Hi Jarvis,GREET
Order a pizza from Leonardo's,PIZZA
TIME,TIME
I'd like a riddle,JOKE
